Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1650449513	519.72	34.404	770.796	25.60976	1.829268	-37.07317	-475	-144	-568	0.9657159	0.02002014	-0.2588274	-0.000244148
5	200	1650449513	490.44	40.26	796.416	47.19512	15.12195	-27.68293	-475	-144	-568	0.9601349	0.02624592	-0.2782983	-0.001464888
5	200	1650449513	508.74	66.612	789.828	51.46342	7.682927	-40.73171	-475	-150	-571	0.957737	0.03604236	-0.2853481	-0.004150517
5	200	1650449513	591.456	103.212	879.132	57.43903	-3.292683	-44.14634	-475	-150	-571	0.9565034	0.03933835	-0.2890103	-0.005157628
5	200	1650449513	485.316	109.068	824.964	57.80488	-9.756098	-43.90244	-476	-153	-573	0.9569074	0.05014191	-0.2858974	-0.008758812
5	200	1650449513	395.28	97.356	798.612	56.82927	-20.4878	-43.90244	-476	-153	-573	0.9581856	0.0553911	-0.2805262	-0.01083407
5	200	1650449513	469.212	116.388	828.624	51.95122	-54.2683	-44.39024	-480	-160	-573	0.9579014	0.06054872	-0.280343	-0.01290933
5	200	1650449513	586.332	128.1	985.272	48.04878	-116.8293	-50.60976	-480	-160	-573	0.9571154	0.0629902	-0.2824183	-0.01422163
5	200	1650449513	431.88	174.948	800.076	45.97561	-137.6829	-55.4878	-484	-167	-574	0.9511217	0.07333598	-0.2994171	-0.01840266
5	200	1650449513	355.752	184.464	786.9	45.12195	-140.1219	-50.73171	-484	-167	-574	0.9522945	0.08053835	-0.2934965	-0.02255318
5	200	1650449513	529.968	347.7	682.956	50	-137.561	-55.36586	-493	-172	-569	0.9497571	0.08890042	-0.2988983	-0.02679525
5	200	1650449513	583.404	232.776	789.096	55.60976	-120.8537	-45.60976	-493	-172	-569	0.9465666	0.09631643	-0.3063754	-0.02948088
5	200	1650449513	516.06	271.572	668.316	52.31707	-107.9268	-44.39024	-504	-178	-565	0.9431819	0.1059908	-0.3131504	-0.03332621
5	200	1650449513	607.56	315.492	728.34	44.63415	-90.2439	-36.46342	-504	-178	-565	0.9396508	0.112949	-0.3209937	-0.03552355
5	200	1650449513	665.388	331.596	737.856	36.21951	-76.46342	-27.56098	-510	-184	-561	0.9349485	0.1214942	-0.3311564	-0.03802607
5	200	1650449513	609.756	298.656	748.836	29.02439	-75	-23.53659	-510	-184	-561	0.9326425	0.1262856	-0.3356426	-0.03967406
5	200	1650449513	589.992	284.016	721.752	25.2439	-70.36585	-19.63415	-517	-189	-558	0.929603	0.1315958	-0.3417463	-0.04159673
5	200	1650449513	620.736	275.964	685.884	23.65854	-66.82927	-17.19512	-517	-189	-558	0.9274784	0.1341899	-0.3463851	-0.04235969
5	200	1650449513	696.864	427.488	818.376	20.85366	-67.56097	-19.87805	-521	-193	-555	0.9238188	0.1375164	-0.3546556	-0.04321421
5	200	1650449513	662.46	344.772	593.652	14.5122	-62.80488	-14.7561	-521	-193	-555	0.9192529	0.1427961	-0.3641774	-0.04425184
5	200	1650449513	652.212	259.86	689.544	18.17073	-70.2439	-15.48781	-525	-196	-554	0.9178388	0.1431013	-0.3675344	-0.04486221
5	200	1650449513	663.192	319.884	615.612	17.07317	-72.19512	-14.02439	-525	-196	-554	0.9151301	0.1458174	-0.3730888	-0.04559465
5	200	1650449513	669.048	299.388	637.572	15.48781	-74.02439	-15.73171	-529	-197	-551	0.912092	0.1488388	-0.3791314	-0.04684591
5	200	1650449513	655.14	234.972	638.304	18.90244	-68.90244	-19.5122	-529	-197	-551	0.9103575	0.1480758	-0.3836177	-0.04647969
